0	0
1	2
2	2
3	3
4	3
5	4
6	4
7	5
8	5
9	6
10	6
11	7
12	7
13	8
14	8
15	9
16	9
17	10
18	11
19	11
20	12
21	12
22	12
23	13
24	13
25	14
26	14
27	15
28	16
29	16
30	16
31	17
32	18
33	18
34	19
35	19
36	20
37	20
38	20
39	21
40	20
41	22
42	22
43	22
44	24
45	24
46	23
47	26
48	26
49	26
50	26
51	28
52	28
53	28
54	29
55	27
56	30
57	31
58	29
59	30
60	32
61	33
62	32
63	35
64	34
65	35
66	35
67	34
68	36
69	36
70	37
71	36
72	37
73	37
74	38
75	39
76	39
77	40
78	41
79	41
80	41
81	42
82	43
83	41
84	43
85	44
86	46
87	46
88	45
89	47
90	46
91	49
92	47
93	48
94	47
95	49
96	50
97	49
98	51
99	52
100	49
101	51
102	54
103	54
104	53
105	51
106	53
107	56
108	58
109	56
110	58
111	56
112	58
113	58
114	57
115	58
116	60
117	59
118	60
119	61
120	60
121	61
122	62
123	65
124	63
125	62
126	63
127	67
128	64
129	65
130	67
131	68
132	67
133	67
134	67
135	71
136	68
137	68
138	71
139	73
140	73
141	72
142	73
143	75
144	73
145	74
146	72
147	78
148	77
149	76
150	75
151	80
152	76
153	80
154	79
155	78
156	78
157	76
158	77
159	78
160	82
161	81
162	79
163	83
164	85
165	83
166	88
167	84
168	80
169	84
170	87
171	87
172	87
173	90
174	90
175	91
176	88
177	89
178	90
179	93
180	89
181	88
182	96
183	91
184	88
185	97
186	96
187	96
188	94
189	98
190	98
191	94
192	95
193	95
194	98
195	99
196	102
197	99
198	103
199	98
200	104
201	102
202	106
203	98
204	107
205	101
206	105
207	104
208	108
209	111
210	102
211	108
212	105
213	110
214	109
215	110
216	112
217	110
218	105
219	115
220	109
221	111
222	112
223	114
224	115
225	112
226	118
227	112
228	112
229	118
230	118
231	120
232	118
233	117
234	123
235	123
236	121
237	121
238	119
239	116
240	123
241	123
242	120
243	123
244	127
245	124
246	127
247	125
248	127
249	124
250	128
251	129
252	125
253	130
254	132
255	134
256	132
257	126
258	127
259	137
260	130
261	127
262	133
263	134
264	133
265	137
266	134
267	132
268	131
269	139
270	134
271	139
272	144
273	144
274	140
275	141
276	140
277	132
278	143
279	143
280	142
281	144
282	141
283	144
284	135
285	151
286	142
287	144
288	150
289	151
290	147
291	150
292	149
293	152
294	142
295	151
296	145
297	154
298	147
299	150
300	150
301	151
302	152
303	154
304	156
305	154
306	158
307	149
308	160
309	157
310	161
311	159
312	154
313	154
314	153
315	155
316	158
317	157
318	162
319	163
320	165
321	161
322	168
323	166
324	166
325	162
326	156
327	162
328	169
329	161
330	170
331	172
332	173
333	173
334	172
335	165
336	171
337	164
338	171
339	174
340	170
341	172
342	180
343	176
344	176
345	169
346	169
347	168
348	168
349	172
350	172
351	186
352	187
353	184
354	171
355	174
356	186
357	179
358	176
359	181
360	177
361	177
362	176
363	181
364	189
365	182
366	195
367	180
368	191
369	185
370	190
371	189
372	182
373	188
374	185
375	191
376	184
377	189
378	190
379	188
380	199
381	193
382	192
383	190
384	201
385	198
386	201
387	198
388	194
389	201
390	191
391	199
392	196
393	195
394	192
395	199
396	204
397	197
398	207
399	202
400	213
401	195
402	208
403	209
404	201
405	203
406	201
407	205
408	216
409	209
410	207
411	211
412	207
413	216
414	212
415	204
416	206
417	204
418	221
419	215
420	206
421	214
422	219
423	205
424	212
425	212
426	218
427	217
428	212
429	217
430	227
431	224
432	217
433	213
434	212
435	218
436	221
437	217
438	220
439	226
440	213
441	219
442	214
443	220
444	240
445	223
446	225
447	230
448	225
449	211
450	231
451	224
452	234
453	232
454	221
455	225
456	235
457	220
458	228
459	232
460	231
461	228
462	228
463	233
464	242
465	234
466	235
467	235
468	242
469	238
470	224
471	236
472	243
473	248
474	234
475	242
476	238
477	240
478	245
479	241
480	242
481	248
482	226
483	242
484	236
485	246
486	251
487	248
488	244
489	256
490	240
491	249
492	249
493	252
494	247
495	254
496	257
497	241
498	248
499	251
